formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C6H15N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.018968284090171924,0.021770164168451105,9.613014285714286,1,"1,1,1,1,2,2,4",,,1,2,2.75,9.613014285714284,39.71532499999999,182.49640784428559,0.3128557483711901,0.0019040334998349044,0.2310422453990733,0.3776628816513873,0.12940271288977007,0.00024281302857015986,0.11102587763221029,0.1625676237257358,0.13777208348309156
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.008787909529707587,0.007494646680942184,9.693271428571434,1,"1,1,1,1,1,3,4",,,1,2,2.7500000000000004,9.693271428571432,40.87747871428572,192.9160730585715,0.31339577204256214,0.0022291828510059915,0.23123341959765006,0.3776649979891473,0.12870375005488385,0.0002463147721053564,0.11143419935143624,0.16259213382952267,-0.159187850271554
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.01896828409017192,0.021413276231263382,9.61301428571429,1,"1,1,1,1,2,2,4",,,1,2,2.7500000000000004,9.613014285714288,39.71532500000001,182.65995070142864,0.3129388509775402,0.0019858414113526628,0.22974491021261723,0.3821360525632925,0.12967629656686042,0.0003297133157945462,0.10815913629182547,0.1702775749834212,0.1212427822974548
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6;types=0,0,0,0,1,0,0",secondary_amine,7,0.01971953471972354,0.01641684511063526,9.572128571428577,1,"1,1,1,1,2,2,4",,,2,1,2.75,9.572128571428575,39.28806157142859,179.50559123000008,0.31198128894668986,0.0013231015653471592,0.23090468898367666,0.33699692249327157,0.1289599375768158,0.00012719752502005115,0.11057110490344525,0.14760909856973525,-0.1833017957854457
C6H15N,"het:edges=0-1,0-2,0-3,0-4,4-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.005858606353138306,0.006067094932191292,9.69327142857143,1,"1,1,1,1,1,3,4",,,1,2,2.75,9.693271428571432,40.87747871428572,192.99784448714294,0.3134348682633629,0.0022653854131004284,0.229934837303399,0.3797703936428937,0.12882621184185702,0.00028316886215338084,0.10855024621152551,0.16604947184489796,0.03496813866802677
C6H15N,"het:edges=0-1,0-2,0-3,0-4,4-5,4-6;types=0,0,0,0,1,0,0",tertiary_amine,7,0.0031659318264073135,0.0024982155603140615,9.611499999999998,1,"1,1,1,1,1,3,4",,,3,0,2.75,9.611499999999998,39.95794357142855,185.8779611499999,0.31181444575302264,0.0013211498774168173,0.23097631804433147,0.33464282523952465,0.12791798285792727,6.146177511173775e-05,0.11061696996748015,0.13618977846623448,-0.23687064262734595
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,2-6;types=0,0,0,1,0,0,0",primary_amine,7,0.020471068808182637,0.021056388294075662,9.532757142857145,1,"1,1,1,1,2,3,3",,,1,2,2.7499999999999996,9.53275714285714,38.42556242857141,169.55948279571416,0.3124968525526249,0.0017803451751012892,0.2569910583415187,0.3797660925070963,0.13007815742502019,0.00026634538129883867,0.11431743084874792,0.16599912962606733,0.028191382928511123
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=0,0,0,0,0,0,1",primary_amine,7,0.022092913421013986,0.019628836545324768,9.452499999999999,1,"1,1,1,2,2,2,3",,,1,2,2.7499999999999996,9.452499999999999,37.26340871428571,159.22158900999995,0.31199557712352444,0.0014923653824296574,0.25535016528373605,0.38216417454600915,0.13092203099533858,0.0003147069522485697,0.11099482184543268,0.17047291247714022,-0.11825715441904598
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.022967916928832797,0.023197715917202,9.411614285714283,1,"1,1,1,2,2,2,3",,,2,1,2.750000000000001,9.41161428571429,36.8361452857143,156.14900096714294,0.31107220338653363,0.00085295559136154,0.256631874899888,0.3370249983795111,0.1302988189176994,0.00013181654202765053,0.11376437138003676,0.1504306023628344,0.00995549555927649
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=1,0,0,0,0,0,0",tertiary_amine,7,0.007959191830685703,0.007851534618129907,9.370728571428566,1,"1,1,1,2,2,2,3",,,3,0,2.749999999999999,9.370728571428566,36.34387357142854,152.0199342442855,0.3103187489362096,0.0004755261267340941,0.288018623290967,0.33543833620210156,0.12980241741913556,2.5024840565306026e-05,0.12403310796663025,0.13469596367541353,-0.013618458727324725
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,5-6;types=0,0,0,1,0,0,0",primary_amine,7,0.044185826842027175,0.04461099214846538,9.452500000000002,1,"1,1,1,2,2,2,3",,,1,2,2.7500000000000004,9.452500000000002,37.263408714285724,158.9793032957143,0.31189316986992777,0.0014040517351520691,0.25872211193890093,0.3797941788244871,0.1306593942972634,0.00025096493289912476,0.11714762892918763,0.16619373164149145,0.009576211193094002
