formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C6H15N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.018270255399640493,0.021056388294075662,9.19072857142858,1,"1,1,1,1,2,2,4",,,1,2,2.664285714285715,9.190728571428577,37.809442142857165,173.5162868157144,0.3272800792494843,0.002395647420110142,0.23271758346945104,0.392662391128688,0.14132049430117233,0.00033056458720908186,0.11486152322764712,0.1751160129948849,0.14192963927525196
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.008286744325518887,0.007851534618129907,9.283557142857143,1,"1,1,1,1,1,3,4",,,1,2,2.664285714285714,9.283557142857143,39.09448271428571,184.63425031571424,0.3280667457086802,0.0028503073733040277,0.23295209666539587,0.39266496757350056,0.14062349155682768,0.0003374864992185758,0.11540698351387206,0.1751477071665362,-0.05394815678096675
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.018270255399640504,0.019628836545324768,9.190728571428568,1,"1,1,1,1,2,2,4",,,1,2,2.664285714285714,9.190728571428568,37.80944214285713,173.66611538714275,0.3273606681591713,0.0024789465842545056,0.23158221505764873,0.39772627242314257,0.14160527839514164,0.00043168185537642616,0.11227618711226682,0.18441554181793912,0.07172538405593155
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6;types=0,0,0,0,1,0,0",secondary_amine,7,0.019003142295646886,0.019271948608137045,9.153271428571433,1,"1,1,1,1,2,2,4",,,2,1,2.664285714285715,9.153271428571431,37.43443700000002,170.97681443000008,0.32640182773357057,0.0017943200030922709,0.23258629984791018,0.3573119351128957,0.14076994836236675,0.00018429577077679865,0.11440557330697226,0.15466118871736007,0.01404624844203962
C6H15N,"het:edges=0-1,0-2,0-3,0-4,4-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.0055244962170125965,0.0053533190578158455,9.28355714285714,1,"1,1,1,1,1,3,4",,,1,2,2.664285714285714,9.28355714285714,39.0944827142857,184.70916460142854,0.3281044806060471,0.0028867822081822367,0.23181553427708998,0.3950370690952024,0.14074988532024504,0.0003795558058300931,0.1128043576168368,0.17928177267807677,-0.031475301829872515
C6H15N,"het:edges=0-1,0-2,0-3,0-4,4-5,4-6;types=0,0,0,0,1,0,0",tertiary_amine,7,0.0029883006466928405,0.0024982155603140615,9.20864285714286,1,"1,1,1,1,1,3,4",,,3,0,2.664285714285714,9.208642857142857,38.28042071428571,178.5523605785714,0.3264921844062486,0.0019333351552942165,0.2327081289130909,0.35463483406924257,0.13966580359257122,0.0001151596150362963,0.11459630634202456,0.14863154646866672,-0.17912811345750412
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,2-6;types=0,0,0,1,0,0,0",primary_amine,7,0.020140734361753714,0.022840827980014276,9.097900000000001,1,"1,1,1,1,2,3,3",,,1,2,2.664285714285714,9.0979,36.3656647142857,159.36238508142847,0.32674115061386944,0.00222690039175873,0.2626162787038042,0.3950318263038426,0.14199411297245051,0.00035520299453062213,0.12056787340008832,0.17921653085552977,0.12580528010207007
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=0,0,0,0,0,0,1",primary_amine,7,0.02220270991059695,0.026409707351891507,9.005071428571425,1,"1,1,1,2,2,2,3",,,1,2,2.664285714285714,9.005071428571426,35.08062414285712,148.31933586714268,0.32599000472396505,0.0018054618561542354,0.26109388764367203,0.3977578533304403,0.14283476178767504,0.00040696805878591744,0.11691937031950268,0.18464574112602933,0.17351728864122867
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.023093341967638528,0.027123483226266953,8.967614285714287,1,"1,1,1,2,2,2,3",,,2,1,2.664285714285714,8.967614285714285,34.705619,145.70494919571428,0.3250638027491406,0.0011426305357530833,0.2622135783782591,0.35734346820340596,0.14209335423210573,0.00018016470276649817,0.11940231524623393,0.1579591578713815,0.16085553646406323
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=1,0,0,0,0,0,0",tertiary_amine,7,0.008006566846747004,0.006780870806566738,8.930157142857142,1,"1,1,1,2,2,2,3",,,3,0,2.664285714285714,8.930157142857142,34.26656214285713,142.08761755857137,0.32432195246617385,0.0007738964165214618,0.28924639687510345,0.3559293846157083,0.14152483637467014,5.9467612424300276e-05,0.13399912381164913,0.15031730084881703,-0.16615650697747625
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,5-6;types=0,0,0,1,0,0,0",primary_amine,7,0.04440541982119016,0.048179871520342615,9.005071428571425,1,"1,1,1,2,2,2,3",,,1,2,2.6642857142857133,9.005071428571423,35.08062414285711,148.05876443857127,0.32587353536041486,0.0017007100116504757,0.2645662996689593,0.39506336031787065,0.14251400273187348,0.00032184224749205476,0.12343128201485994,0.17944570057587908,0.08157979872609136
